"Year","Month","Date","yyyy_mm","SPX_rtn","NASDAQ100_rtn","NASDAQCOM_rtn","VXDCLS","VXNCLS","RVXCLS","VXVCLS","VIXCLS","T10YIE","DFF","DGS1","DGS10","BAA10Y","RUT_rtn","DJI_rtn","MICH","CPALTT01USM657N","Contraction","VVIX"
1928,1,1928-01-31,"1928-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,2,1928-02-29,"1928-2",-0.0176437108708024,-0.0176437108708024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,3,1928-03-31,"1928-3",0.117033603707995,0.117033603707995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,4,1928-04-30,"1928-4",0.0243775933609958,0.0243775933609958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,5,1928-05-31,"1928-5",0.0126582278481013,0.0126582278481013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,6,1928-06-30,"1928-6",-0.0429999999999999,-0.0429999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,7,1928-07-31,"1928-7",0.0151515151515151,0.0151515151515151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,8,1928-08-31,"1928-8",0.0741121976325272,0.0741121976325272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,9,1928-09-30,"1928-9",0.0129372304743651,0.0129372304743651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,10,1928-10-31,"1928-10",0.0255439924314096,0.0255439924314096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,11,1928-11-30,"1928-11",0.119926199261993,0.119926199261993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1928,12,1928-12-31,"1928-12",0.00288303130148271,0.00288303130148271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,1,1929-01-31,"1929-1",0.0570841889117042,0.0570841889117042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,2,1929-02-28,"1929-2",-0.0058275058275058,-0.0058275058275058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,3,1929-03-31,"1929-3",-0.00234466588511129,-0.00234466588511129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,4,1929-04-30,"1929-4",0.0160595377986683,0.0160595377986683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,5,1929-05-31,"1929-5",-0.0427910562837318,-0.0427910562837318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,6,1929-06-30,"1929-6",0.103906564639549,0.103906564639549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,7,1929-07-31,"1929-7",0.0536300620211601,0.0536300620211601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1929,8,1929-08-31,"1929-8",0.0979916897506925,0.0979916897506925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1929,9,1929-09-30,"1929-9",-0.0488804793440555,-0.0488804793440555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1929,10,1929-10-31,"1929-10",-0.199270557029178,-0.199270557029178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1929,11,1929-11-30,"1929-11",-0.133747412008281,-0.133747412008281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1929,12,1929-12-31,"1929-12",-0.0014340344168261,-0.0014340344168261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,1,1930-01-31,"1930-1",0.0909526089037815,0.0909526089037815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,2,1930-02-28,"1930-2",0.0215006581834138,0.0215006581834138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,3,1930-03-31,"1930-3",0.0373711340206184,0.0373711340206184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,4,1930-04-30,"1930-4",0.031055900621118,0.031055900621118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,5,1930-05-31,"1930-5",-0.0164658634538153,-0.0164658634538153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,6,1930-06-30,"1930-6",-0.164556962025316,-0.164556962025316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,7,1930-07-31,"1930-7",0.0366568914956011,0.0366568914956011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,8,1930-08-31,"1930-8",0.00754361150400751,0.00754361150400751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,9,1930-09-30,"1930-9",-0.130088909686476,-0.130088909686476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,10,1930-10-31,"1930-10",-0.088757396449704,-0.088757396449704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,11,1930-11-30,"1930-11",-0.0330578512396695,-0.0330578512396695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1930,12,1930-12-31,"1930-12",-0.0634920634920635,-0.0634920634920635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,1,1931-01-31,"1931-1",0.0554106910039114,0.0554106910039114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,2,1931-02-28,"1931-2",0.113650401482396,0.113650401482396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,3,1931-03-31,"1931-3",-0.074320576816417,-0.074320576816417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,4,1931-04-30,"1931-4",-0.0958657878969443,-0.0958657878969443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,5,1931-05-31,"1931-5",-0.137176938369781,-0.137176938369781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,6,1931-06-30,"1931-6",0.139016897081413,0.139016897081413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,7,1931-07-31,"1931-7",-0.0741739716790289,-0.0741739716790289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,8,1931-08-31,"1931-8",0.00946831755280408,0.00946831755280408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,9,1931-09-30,"1931-9",-0.299422799422799,-0.299422799422799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,10,1931-10-31,"1931-10",0.0741503604531411,0.0741503604531411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,11,1931-11-30,"1931-11",-0.0891658676893576,-0.0891658676893576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1931,12,1931-12-31,"1931-12",-0.145263157894737,-0.145263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,1,1932-01-31,"1932-1",-0.0221674876847289,-0.0221674876847289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,2,1932-02-29,"1932-2",0.044080604534005,0.044080604534005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,3,1932-03-31,"1932-3",-0.118214716525935,-0.118214716525935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,4,1932-04-30,"1932-4",-0.202462380300958,-0.202462380300958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,5,1932-05-31,"1932-5",-0.23327615780446,-0.23327615780446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,6,1932-06-30,"1932-6",-0.00894854586129756,-0.00894854586129756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,7,1932-07-31,"1932-7",0.36117381489842,0.36117381489842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,8,1932-08-31,"1932-8",0.391376451077944,0.391376451077944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,9,1932-09-30,"1932-9",-0.0369487485101312,-0.0369487485101312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,10,1932-10-31,"1932-10",-0.138613861386139,-0.138613861386139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,11,1932-11-30,"1932-11",-0.0589080459770115,-0.0589080459770115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1932,12,1932-12-31,"1932-12",0.0564885496183207,0.0564885496183207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1933,1,1933-01-31,"1933-1",0.00289017341040476,0.00289017341040476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1933,2,1933-02-28,"1933-2",-0.184438040345821,-0.184438040345821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1933,3,1933-03-31,"1933-3",0.0335689045936396,0.0335689045936396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1933,4,1933-04-30,"1933-4",0.338461538461539,0.338461538461539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1933,5,1933-05-31,"1933-5",0.231162196679438,0.231162196679438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1933,6,1933-06-30,"1933-6",0.131742738589212,0.131742738589212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
